Name,Sweetness,Sourness,Spiciness,Fried,Soup,Grilled,Baked,Vegetarian,Umami,Richness,Vegetableness
Pancakes,0.6,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.2,0.5,0.2
Tom Yum Soup,-1.0,0.6,0.2,-1.0,1.0,-1.0,-1.0,-1.0,0.6,0.3,0.1
Sushi,-1.0,-0.6,-0.4,-1.0,-1.0,1.0,-1.0,-1.0,0.8,0.4,-0.5
Falafel,-0.8,-1.0,-0.4,-1.0,-1.0,-1.0,-1.0,1.0,0.2,0.4,0.8
Chicken Tikka Masala,-0.6,-1.0,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.7,-1.0
Pizza,-0.1,-0.4,0.2,-0.2,-0.5,-0.4,0.8,0.6,0.5,0.6,0.4
Mushroom Risotto,-0.2,-0.3,0.0,-0.1,-0.4,0.0,0.6,0.7,0.8,0.8,0.6
Grilled Cheese,-0.6,-1.0,-0.4,-0.1,-1.0,-1.0,1.0,1.0,0.8,0.8,-0.2
Caesar Salad,-0.3,-0.6,-0.2,-1.0,-1.0,-0.4,0.6,0.5,0.4,0.6,0.3
Chicken Wings,0.1,-1.0,0.7,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.7,-0.3
Pasta Primavera,-0.3,-0.2,0.1,-0.1,-0.6,0.2,0.5,0.8,0.4,0.5,0.7
Potato Salad,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.4,0.3
Shakshuka,-0.3,-0.1,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.7,0.8
Pita Bread,-1.0,-0.6,-0.6,-1.0,-1.0,-1.0,0.6,-1.0,0.2,0.3,0.4
Chicken Curry,-0.5,-0.6,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.7,0.5
Fish Tacos,-0.8,-0.6,0.4,0.6,-1.0,-1.0,-1.0,-1.0,0.5,0.7,0.6
Corn on the Cob,-0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.4,0.4
Pancetta,-1.0,-1.0,0.4,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.8,-1.0
Charcuterie Board,-0.6,-1.0,-0.4,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.7,-0.8
Crab Cakes,-0.6,-1.0,-0.4,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.7,-0.6
Marinated Olives,-1.0,-0.4,-0.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.4,-0.7
Pulled Pork Sandwich,-0.8,-0.6,0.4,1.0,-1.0,1.0,-1.0,-1.0,0.6,0.7,-0.4
Eggplant Rollatini,-0.5,-0.6,-0.4,-1.0,-1.0,-1.0,-1.0,0.6,0.5,0.6,0.5
Teriyaki Chicken,-0.8,-0.6,-0.2,-1.0,-1.0,1.0,-1.0,-1.0,0.6,0.6,-0.4
Grilled Salmon,-1.0,-1.0,-0.6,-1.0,-1.0,1.0,-1.0,-1.0,0.7,0.6,-0.2
Tomato Basil Bruschetta,-0.4,-0.2,-0.4,-1.0,-1.0,-1.0,-1.0,0.6,0.4,0.5,0.2
Thai Green Curry,-0.5,-0.4,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.7,0.6
Lamb Kofta,-0.8,-1.0,0.4,-1.0,-1.0,1.0,-1.0,-1.0,0.7,0.7,-0.6
Corn Fritters,-0.2,-1.0,-0.6,1.0,-1.0,-1.0,-1.0,-1.0,0.4,0.5,0.5
Fish and Chips,-1.0,-1.0,0.2,1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.6,-0.5
Kale Salad,-1.0,-0.4,-1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.2,0.3,0.9
Pork Tacos,-0.8,-0.6,0.4,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.6,-0.5
Sweet and Sour Chicken,0.1,0.2,0.6,-1.0,-1.0,1.0,-1.0,-1.0,0.6,0.6,0.5
Beef Empanadas,-0.8,-1.0,-0.2,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.7,-0.4
Omelette,-0.8,-1.0,-0.8,-1.0,-1.0,-1.0,-1.0,0.6,0.3,0.4,0.1
Fried Calamari,-1.0,-1.0,0.2,1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.6,-0.4
Crispy Brussels Sprouts,-1.0,-0.8,-0.4,1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.5,0.5
Jerk Chicken,-0.8,-0.6,0.6,1.0,-1.0,1.0,-1.0,-1.0,0.7,0.7,-0.5
Creamed Spinach,-0.8,-1.0,-0.8,-1.0,-1.0,-1.0,-1.0,0.6,0.5,0.7,0.4
Gingerbread Cookies,0.6,-0.8,-1.0,-1.0,-1.0,-1.0,0.6,-1.0,0.3,0.5,0.5
Buffalo Cauliflower,-0.8,-0.4,0.6,1.0,-1.0,-1.0,-1.0,-1.0,0.4,0.5,0
Sweet Cornbread,0.4,-0.6,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.3,0.5,0.5
Chili,-0.6,-0.6,0.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,0.7,-0.4
Beef Tacos,-0.4,-0.6,0.6,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.7,-0.3
Clam Chowder,-0.6,-0.4,-0.4,-1.0,1.0,-1.0,-1.0,-1.0,0.4,0.5,0.2
Beef Stew,-0.6,-0.6,0.5,-1.0,-1.0,-1.0,-1.0,1.0,0.7,0.8,-0.2
Lemon Bars,0.6,-0.6,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.3,0.5,0.4
Buffalo Chicken Dip,-0.6,-1.0,0.6,1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.6,-0.3
Spaghetti Carbonara,-0.6,-1.0,-0.4,-1.0,-1.0,-1.0,-1.0,1.0,0.6,0.7,-0.4
Eggplant Parmesan,-0.4,-0.6,0.5,-1.0,-1.0,1.0,-1.0,-1.0,0.5,0.6,0.4
Grilled Cheese,-0.6,-1.0,-0.6,-1.0,-1.0,-1.0,1.0,1.0,0.3,0.4,-0.2
Avocado Salad,-0.4,-0.6,-0.2,-1.0,-1.0,-1.0,-1.0,1.0,0.4,0.5,0.7
Tzatziki,-0.6,-1.0,-0.4,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.4,0.3
Mango Chutney,0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.5,0.5
Crab Salad,-0.6,-0.4,-0.4,-1.0,-1.0,-1.0,-1.0,-1.0,0.4,0.5,0.2
Tiramisu,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.5,-0.2
Cornbread Muffins,0.6,-0.6,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.3,0.5,0.5
Samosa,-0.6,-0.6,0.6,-1.0,-1.0,-1.0,-1.0,1.0,0.5,0.6,0.4
Potato Wedges,-0.4,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.5,0.3
Sushi,-0.6,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.4,-0.5
Bulgur Pilaf,-0.6,-0.4,-0.4,-1.0,-1.0,-1.0,-1.0,1.0,0.3,0.4,0.6
Stuffed Peppers,-0.4,-0.6,-0.4,-1.0,-1.0,-1.0,-1.0,1.0,0.5,0.6,0.5
Sauerbraten,-0.4,-0.6,0.4,-1.0,-1.0,-1.0,-1.0,1.0,0.5,0.6,0.4
Chicken Korma,-0.4,-0.6,0.6,-1.0,-1.0,1.0,-1.0,-1.0,0.7,0.6,0.6
Shrimp Scampi,-0.4,-0.6,0.4,-1.0,-1.0,1.0,-1.0,-1.0,0.7,0.6,0.5
Chicken Caesar Salad,-0.4,-0.6,-0.2,-1.0,-1.0,-1.0,-1.0,1.0,0.5,0.6,0.4
Lamb Tagine,-0.6,-1.0,0.6,-1.0,-1.0,1.0,-1.0,-1.0,0.7,0.7,0.5
Vegetable Soup,-0.6,-0.4,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.5,0.6,0.7
Goulash,-0.4,-0.6,0.6,-1.0,-1.0,-1.0,-1.0,1.0,0.6,0.6,0.4
Eggplant Rollatini,-0.4,-0.6,-0.4,-1.0,-1.0,-1.0,-1.0,1.0,0.5,0.6,0.5
Lamb Kofta,-0.6,-1.0,0.6,-1.0,-1.0,1.0,-1.0,-1.0,0.7,0.7,0.5
Thai Green Curry,-0.4,-0.4,0.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,0.6,0.6
Beef Empanadas,-0.6,-1.0,-0.2,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.7,-0.4